Date,Closing,Openning,High,Low,Volume
2021-02-18 00:00:00,9024.23,9084.31,9118.23,9024.23,382.32,-0.66
2021-02-17 00:00:00,9084.31,9101.96,9134.41,9058.28,489.11,-0.19
2021-02-16 00:00:00,9101.96,9081.78,9117.63,9027.34,480.1,0.22
2021-02-15 00:00:00,9081.78,9035.53,9142.21,9054.76,386.14,0.51
2021-02-14 00:00:00,9035.53,8943.85,9047.7,8956.49,324.15,1.03
2021-02-11 00:00:00,8943.85,8901.63,8943.85,8891.48,292.08,0.47
2021-02-10 00:00:00,8901.63,8892.92,8972.26,8889.92,304.66,0.1
2021-02-09 00:00:00,8892.92,8809.34,8918.16,8825.72,313.3,0.95
2021-02-08 00:00:00,8809.34,8687.93,8822.2,8692.74,276.19,1.4
2021-02-07 00:00:00,8687.93,8617.87,8719.62,8619.72,200.02,0.81
2021-02-04 00:00:00,8617.87,8542.55,8626.29,8464.47,233.52,0.88
2021-02-03 00:00:00,8542.55,8618.57,8622.71,8542.55,230.93,-0.88
2021-02-02 00:00:00,8618.57,8648.43,8714.79,8611.06,206.58,-0.35
2021-02-01 00:00:00,8648.43,8702.55,8755.98,8648.43,218.64,-0.62
2021-01-31 00:00:00,8702.55,8807.02,8781.46,8677.51,251.18,-1.19
2021-01-28 00:00:00,8807.02,8784.12,8816.76,8739.4,177.8,0.26
2021-01-27 00:00:00,8784.12,8789.87,8820.48,8784.12,142.29,-0.07
2021-01-26 00:00:00,8789.87,8846.95,8844.73,8789.87,160.05,-0.65
2021-01-25 00:00:00,8846.95,8829.52,8872.71,8837.69,169.0,0.2
2021-01-24 00:00:00,8829.52,8876.49,8886.02,8819.56,188.99,-0.53
2021-01-21 00:00:00,8876.49,8878.3,8909.86,8876.49,183.09,-0.02
2021-01-20 00:00:00,8878.3,8901.87,8916.39,8878.3,206.2,-0.26
2021-01-19 00:00:00,8901.87,8931.29,8955.44,8901.87,229.89,-0.33
2021-01-18 00:00:00,8931.29,8874.9,8931.29,8853.89,332.27,0.64
2021-01-17 00:00:00,8874.9,8898.68,8901.48,8866.66,242.17,-0.27
2021-01-14 00:00:00,8898.68,8914.29,8912.78,8873.42,222.48,-0.18
2021-01-13 00:00:00,8914.29,8884.46,8914.29,8880.91,257.0,0.34
2021-01-12 00:00:00,8884.46,8869.47,8884.46,8854.34,221.95,0.17
2021-01-11 00:00:00,8869.47,8817.05,8869.47,8804.26,301.6,0.59
2021-01-10 00:00:00,8817.05,8737.2,8841.22,8768.89,280.2,0.91
2021-01-07 00:00:00,8737.2,8670.8,8737.2,8659.6,256.25,0.77
2021-01-06 00:00:00,8670.8,8682.11,8692.9,8664.94,198.22,-0.13
2021-01-05 00:00:00,8682.11,8667.66,8695.23,8632.67,220.96,0.17
2021-01-04 00:00:00,8667.66,8612.82,8670.77,8621.55,245.61,0.64
2021-01-03 00:00:00,8612.82,8689.53,8698.34,8600.56,264.78,-0.88
